[SYS] 2026/09/05 - 11:47:05 | initializing token encoders 
[SYS] 2026/09/05 - 11:47:05 | token encoders initialized 
[SYS] 2026/09/05 - 11:47:05 | using PostgreSQL as database 
[SYS] 2026/09/05 - 11:47:05 | database migration started 
[SYS] 2026/09/05 - 11:47:07 | system is not initialized and no root user exists 
[SYS] 2026/09/05 - 11:47:07 | SYNC_FREQUENCY not set, use default value 60 
[SYS] 2026/09/05 - 11:47:07 | Redis is enabled 
[SYS] 2026/09/05 - 11:47:07 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/09/05 - 11:47:07 | Loaded 0 custom OAuth providers 
[SYS] 2026/09/05 - 11:47:07 | KDex API  started 
[SYS] 2026/09/05 - 11:47:07 | memory cache enabled 
[SYS] 2026/09/05 - 11:47:07 | sync frequency: 60 seconds 
[SYS] 2026/09/05 - 11:47:07 | channels synced from database 
[SYS] 2026/09/05 - 11:47:07 | 正在更新数据看板数据... 
[SYS] 2026/09/05 - 11:47:07 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | subscription quota reset task started: tick=1m0s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/09/05 - 11:47:07 | batch update enabled with interval 5s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | system task runner started: runner=kdex-api-node-1-98rFlXy9 idle_interval=15s 

  [33mWarning: Refresh cookie is not secure and refresh/logout Origin validation is disabled. Please set SESSION_COOKIE_SECURE=true in production.[0m


  [32mKDex API [0m  ready in 2481 ms

  ➜  [1mNetwork:[0m http://172.19.0.4:3000/

[GIN] 2026/09/05 - 11:50:04 | api | 202609050350045693699688268d9d683jiFiaZ | 200 |    3.122656ms |    192.168.10.1 |     GET /api/task/?p=1&page_size=100&start_timestamp=1788537600&end_timestamp=1788583804
[GIN] 2026/09/05 - 11:50:06 | web | 202609050350061137090328268d9d60wMRU7hJ | 200 |    2.547159ms |    192.168.10.1 |     GET /static/js/async/9942.3d6a8c6b09.js
[GIN] 2026/09/05 - 11:50:06 | api | 202609050350061349308418268d9d6l1K4Kmg6 | 200 |     381.839µs |             ::1 |     GET /api/status
[GIN] 2026/09/05 - 11:50:06 | api | 202609050350067214773998268d9d6zFZOTqBL | 200 |    2.543356ms |    192.168.10.1 |     GET /api/log/stat?p=1&page_size=1&start_timestamp=1788537600&end_timestamp=1788583807
[GIN] 2026/09/05 - 11:50:06 | api | 202609050350067593049068268d9d6LjKp0cfd | 200 |     2.76504ms |    192.168.10.1 |     GET /api/log/?p=1&page_size=100&start_timestamp=1788537600&end_timestamp=1788583807
[SYS] 2026/09/05 - 11:50:08 | syncing options from database 
[SYS] 2026/09/05 - 11:50:08 | syncing channels from database 
[SYS] 2026/09/05 - 11:50:08 | channels synced from database 
[GIN] 2026/09/05 - 11:50:08 | api | 202609050350083249839488268d9d6NBeppIEy | 200 |    1.130969ms |    192.168.10.1 |     GET /api/user/self/groups
[GIN] 2026/09/05 - 11:50:08 | api | 202609050350083251383288268d9d6UAz9dsVa | 200 |    2.936155ms |    192.168.10.1 |     GET /api/token/?p=1&size=20
[GIN] 2026/09/05 - 11:50:10 | api | 202609050350100347732848268d9d64vovIsKj | 200 |    2.796299ms |    192.168.10.1 |     GET /api/perf-metrics/summary?hours=24
[GIN] 2026/09/05 - 11:50:10 | api | 202609050350101988767108268d9d6B0C4g2Tj | 200 |    2.463185ms |    192.168.10.1 |     GET /api/data/?start_timestamp=1788493810&end_timestamp=1788580210&default_time=hour
[GIN] 2026/09/05 - 11:50:10 | api | 202609050350107101827368268d9d6SkyKF8Vb | 200 |     492.504µs |    192.168.10.1 |     GET /api/uptime/status
[GIN] 2026/09/05 - 11:50:10 | api | 202609050350107098663118268d9d6qN3WiQ6n | 200 |    2.673029ms |    192.168.10.1 |     GET /api/data/self?start_timestamp=1788497411&end_timestamp=1788583811&default_time=hour
[GIN] 2026/09/05 - 11:50:10 | api | 202609050350107104440598268d9d6CI50txCC | 200 |    3.711389ms |    192.168.10.1 |     GET /api/token/?p=1&size=10
[GIN] 2026/09/05 - 11:50:12 | api | 202609050350124497397028268d9d6Bc29qhRh | 200 |     455.061µs |    192.168.10.1 |     GET /api/status
